Table 1
Company,Year,ex_rate,,
A.G. LEVENTIS NIGERIA PLC.[BLS],2014,183.21,,
A.G. LEVENTIS NIGERIA PLC.[BLS],2015,199.09,,
A.G. LEVENTIS NIGERIA PLC.[BLS],2016,304.23,,
A.G. LEVENTIS NIGERIA PLC.[BLS],2017,384.96,,
A.G. LEVENTIS NIGERIA PLC.[BLS],2018,363,,
AB InBev,2014,1,,
AB InBev,2015,1,,
AB InBev,2016,1,,
AB InBev,2017,1,,
AB InBev,2018,1,,
A-CAP Resources,2014,1,,
A-CAP Resources,2015,1,,
A-CAP Resources,2016,1,,
A-CAP Resources,2017,1,,
A-CAP Resources,2018,1,,
Accentuate Limited,2014,11.56,,
Accentuate Limited,2015,15.53,,
Accentuate Limited,2016,13.66,,
Accentuate Limited,2017,12.36,,
Accentuate Limited,2018,14.39,,
Adapt It Holdings Limited,2014,11.56,,
Adapt It Holdings Limited,2015,15.53,,
Adapt It Holdings Limited,2016,13.66,,
Adapt It Holdings Limited,2017,12.36,,
Adapt It Holdings Limited,2018,14.39,,
Adcock Ingram Holdings Limited,2014,11.56,,
Adcock Ingram Holdings Limited,2015,15.53,,
Adcock Ingram Holdings Limited,2016,13.66,,
Adcock Ingram Holdings Limited,2017,12.36,,
Adcock Ingram Holdings Limited,2018,14.39,,
Adcorp Holdings Limited,2014,11.56,,
Adcorp Holdings Limited,2015,15.53,,
Adcorp Holdings Limited,2016,13.66,,
Adcorp Holdings Limited,2017,12.36,,
Adcorp Holdings Limited,2018,14.39,,
Advtech Limited,2014,11.56,,
Advtech Limited,2015,15.53,,
Advtech Limited,2016,13.66,,
Advtech Limited,2017,12.36,,
Advtech Limited,2018,14.39,,
AECI Limited,2014,11.56,,
AECI Limited,2015,15.53,,
AECI Limited,2016,13.66,,
AECI Limited,2017,12.36,,
AECI Limited,2018,14.39,,
AFRICA PRUDENTIAL PLC,2014,183.21,,
AFRICA PRUDENTIAL PLC,2015,199.09,,
AFRICA PRUDENTIAL PLC,2016,304.23,,
