company,listing_country,locality,industry,sector,reporting_year,listing_year,incorporation_year,net_prof,tot_asst,bk_eqt,market_value,com_1,com_2,com_3,com_4,com_5,com_6,com_7,com_8,com_9,com_10,com_11,com_12,com_13,com_14,com_15,com_16,com_17,com_18,com_19,com_20,com_21,com_22,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,hr_24,hr_25,hr_26,hr_27,hr_28,hr_29,hr_30,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,env_1,env_2,env_3,env_4,env_5,env_6,env_7,env_8,env_9,env_10,env_11,env_12,env_13,env_14,env_15,ene_1,ene_2,ene_3,ene_4,ene_5,ene_6,ene_7,emi_1,emi_2,emi_3,emi_4,emi_5,emi_6,emi_7,emi_8,emi_9,emi_10,oth_1,oth_2,oth_3,oth_4,oth_5,oth_6,social_committee
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2014,,,712036000,22337071000,10989176000,3467949.9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2015,,,165125000,21777950000,11233270000,1641319.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2016,,,1323645000,18104847000,4644323000,2541398.4,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,4,0,4,4,4,0,4,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2017,,,1323625000,18268284000,7275893000,1853103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2018,,,1323645000,4739786000,2693625000,714768.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2014,2016,1852,11302000000,142550000000,54257000000,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2015,2016,1852,9867000000,134635000000,45719000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2016,2016,1852,2769000000,258381000000,81425000000,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2017,2016,1852,9183000000,246126000000,80220000000,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,4,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,4,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2018,2016,1852,5691000000,232103000000,71904000000,0,0,0,0,0,0,5,0,4,0,0,0,0,0,5,4,0,4,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,4,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2014,2006,1996,-3005965,50180731,49206550,0,4,0,4,0,0,4,0,5,0,0,0,0,0,0,0,0,5,3,0,5,0,5,4,4,4,0,4,0,0,0,4,4,0,4,4,0,4,0,0,4,4,5,5,4,0,0,0,5,4,0,0,0,0,5,5,0,0,5,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2015,2006,1996,3508626,54595069,53822313,166269688.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2016,2006,1996,3508626,54594069,53822313,196682217.4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2017,2006,1996,-4144083,55060277,54567621,305159703.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2018,2006,1996,21637,54817834,54560202,340035097.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2014,2006,1953,5140000,241292000,152379000,0,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,4,4,4,0,0,0,4,0,0,0,0,0,0,4,4,4,4,0,0,4,4,0,4,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2015,2006,1953,4711000,230838000,157562000,0,4,0,4,0,0,4,4,4,4,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,4,4,4,4,0,0,4,4,0,4,0,4,0,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2016,2006,1953,7525000,239484000,153469000,0,4,0,4,0,0,4,4,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,4,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2017,2006,1953,917000,189452000,132556000,0,4,0,4,0,0,4,4,4,0,0,0,0,4,4,0,0,4,0,0,0,0,4,4,4,0,0,4,4,0,0,4,4,0,0,4,0,0,4,4,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,4,4,4,0,0,4,4,4,4,0,4,0,4,0,0,0,4,0,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2018,2006,1953,-22184000,224039000,110341000,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
Adapt It Holdings Limited,South Africa,Multinational,Software and Computer Services,Technology,2014,1998,1998,-152779,546019598,118478161,0,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,0,0,0,0,0,4,4,4,0,0,4,0,4,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,4,0,4,1
Adapt It Holdings Limited,South Africa,Multinational,Software and Computer Services,Technology,2015,1998,1998,722792,964877045,231290344,0,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,4,0,4,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,1
